City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Bluff,NZ,2022-02-05 19:02:13,-46.6,168.3333,50.81,74,94,13.69
60,Teguise,ES,2022-02-05 19:04:37,29.0605,-13.564,66.42,49,0,12.66
61,Churapcha,RU,2022-02-05 19:04:37,62.0025,132.4325,-32.24,100,100,0.74
62,Barrow,US,2022-02-05 19:02:16,71.2906,-156.7887,-14.78,70,75,12.66
63,Port Elizabeth,ZA,2022-02-05 19:02:12,-33.918,25.5701,69.1,82,75,19.71
64,Aldan,RU,2022-02-05 19:04:37,58.6031,125.3894,-11.65,100,100,3.06
65,Sinnamary,GF,2022-02-05 19:03:12,5.3833,-52.95,79.9,78,53,9.84
66,Margate,GB,2022-02-05 19:00:34,51.3813,1.3862,49.96,74,100,10.0
67,Muzhi,RU,2022-02-05 19:04:38,65.3667,64.6667,-14.46,100,52,1.88
68,Mahebourg,MU,2022-02-05 19:01:07,-20.4081,57.7,80.26,84,100,19.22
69,Norman Wells,CA,2022-02-05 19:02:44,65.282,-126.8329,-7.58,91,99,6.85
70,Temiscaming,CA,2022-02-05 19:00:13,46.7212,-79.0971,0.48,67,13,4.94
71,Hobart,AU,2022-02-05 19:01:10,-42.8794,147.3294,57.06,81,40,4.61
72,Chicama,PE,2022-02-05 19:04:38,-7.8447,-79.1469,66.74,56,16,11.48
73,Paamiut,GL,2022-02-05 19:00:40,61.994,-49.6678,-0.87,85,73,7.61
74,Kapaa,US,2022-02-05 18:59:55,22.0752,-159.319,68.47,59,0,4.23
75,Olga,RU,2022-02-05 19:04:38,43.7444,135.2892,6.75,59,12,13.85
76,Namibe,AO,2022-02-05 19:01:32,-15.1961,12.1522,74.03,69,100,11.56
77,Sola,VU,2022-02-05 19:02:27,-13.8833,167.55,82.67,77,100,19.73
78,Hecun,CN,2022-02-05 19:04:39,36.5333,114.1111,31.26,38,100,2.48
79,Castro,BR,2022-02-05 19:00:35,-24.7911,-50.0119,75.16,81,36,8.75
80,Yangjiang,CN,2022-02-05 19:04:39,21.85,111.9667,56.95,69,78,5.88
81,Porto Santo,PT,2022-02-05 19:04:39,33.072,-16.3415,66.31,82,20,20.71
82,Ust-Maya,RU,2022-02-05 19:04:40,60.4167,134.5333,-28.14,100,100,1.07
83,Khatanga,RU,2022-02-05 19:01:04,71.9667,102.5,-31.72,99,99,2.08
84,Ardakan,IR,2022-02-05 19:04:40,32.31,54.0175,48.58,21,0,4.61
85,Mandera,KE,2022-02-05 19:04:40,3.9366,41.867,85.73,18,100,7.07
86,Ixtapa,MX,2022-02-05 19:04:40,20.7,-105.2,76.23,65,75,2.3
87,Aktash,RU,2022-02-05 19:04:41,50.3,87.7333,-15.81,73,0,5.73
88,Bengkulu,ID,2022-02-05 19:01:05,-3.8004,102.2655,74.25,96,100,9.01
89,Turukhansk,RU,2022-02-05 19:05:41,65.8167,87.9833,-13.07,100,66,2.68
90,Khandyga,RU,2022-02-05 19:05:41,62.6667,135.6,-44.19,100,88,2.21
91,East London,ZA,2022-02-05 19:03:56,-33.0153,27.9116,69.75,85,100,18.39
92,Faanui,PF,2022-02-05 19:01:37,-16.4833,-151.75,81.09,72,12,18.68
93,Saint Anthony,US,2022-02-05 19:05:41,45.0205,-93.218,16.79,58,40,7.0
94,Puerto Ayora,EC,2022-02-05 19:01:04,-0.7393,-90.3518,79.56,84,86,5.01
95,Albany,US,2022-02-05 19:01:00,42.6001,-73.9662,21.61,60,5,5.01
96,New Norfolk,AU,2022-02-05 19:01:22,-42.7826,147.0587,56.71,65,100,1.25
97,Kutum,SD,2022-02-05 19:00:52,14.2,24.6667,57.45,18,18,12.26
98,Gimli,CA,2022-02-05 19:01:06,50.6336,-96.9907,8.13,87,100,6.51
