City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Luderitz,NA,2022-02-05 01:30:36,-26.6481,15.1594,67.84,73,86,4.43,overcast clouds
60,Nemuro,JP,2022-02-05 01:30:36,43.3236,145.575,25.23,67,5,14.76,clear sky
61,Puerto Madryn,AR,2022-02-05 01:28:58,-42.7692,-65.0385,60.1,66,99,21.03,light rain
62,Mahebourg,MU,2022-02-05 01:26:23,-20.4081,57.7,79.25,94,75,14.97,broken clouds
63,Vyartsilya,RU,2022-02-05 01:30:36,62.1764,30.693,14.97,90,100,15.64,overcast clouds
64,Chuy,UY,2022-02-05 01:30:37,-33.6971,-53.4616,69.04,94,0,4.76,clear sky
65,Council Bluffs,US,2022-02-05 01:29:36,41.2619,-95.8608,21.42,34,0,9.22,clear sky
66,Saint-Philippe,RE,2022-02-05 01:30:37,-21.3585,55.7679,81.99,89,100,25.64,moderate rain
67,Mar Del Plata,AR,2022-02-05 01:30:37,-38.0023,-57.5575,69.1,81,100,3.0,moderate rain
68,Rikitea,PF,2022-02-05 01:30:38,-23.1203,-134.9692,79.05,68,4,7.18,clear sky
69,Plettenberg Bay,ZA,2022-02-05 01:30:38,-34.0527,23.3716,62.06,78,0,6.06,clear sky
70,Busselton,AU,2022-02-05 01:30:38,-33.65,115.3333,85.95,30,14,6.62,few clouds
71,Okhotsk,RU,2022-02-05 01:30:39,59.3833,143.3,4.53,71,99,16.15,overcast clouds
72,Kholodnyy,RU,2022-02-05 01:30:39,62.7167,147.95,-10.86,74,68,4.18,broken clouds
73,Le Port,RE,2022-02-05 01:30:39,-20.9373,55.2919,82.4,86,100,22.86,light rain
74,Ligayan,PH,2022-02-05 01:30:40,4.6533,119.4706,80.04,80,100,7.34,overcast clouds
75,Guozhen,CN,2022-02-05 01:30:40,34.3659,107.359,33.8,50,100,5.61,light snow
76,Hermanus,ZA,2022-02-05 01:30:41,-34.4187,19.2345,63.81,70,1,18.03,clear sky
77,Lompoc,US,2022-02-05 01:25:49,34.6391,-120.4579,65.37,55,0,11.5,clear sky
78,College,US,2022-02-05 01:30:42,64.8569,-147.8028,6.8,63,75,3.44,broken clouds
79,Luau,AO,2022-02-05 01:30:42,-10.7073,22.2247,60.33,99,100,3.42,overcast clouds
80,Kavaratti,IN,2022-02-05 01:30:42,10.5669,72.642,77.61,59,88,4.27,overcast clouds
81,Hasaki,JP,2022-02-05 01:30:43,35.7333,140.8333,43.29,38,6,18.07,clear sky
82,Gat,IL,2022-02-05 01:30:43,31.61,34.7642,56.08,100,83,11.79,broken clouds
83,Price,US,2022-02-05 01:30:44,39.5994,-110.8107,31.26,40,0,0.0,clear sky
84,Saskylakh,RU,2022-02-05 01:30:44,71.9167,114.0833,-9.0,99,99,5.28,overcast clouds
85,Katsuura,JP,2022-02-05 01:30:44,35.1333,140.3,44.71,42,96,12.48,overcast clouds
86,Kumluca,TR,2022-02-05 01:30:45,36.3703,30.2869,42.67,41,13,7.85,few clouds
87,Tuktoyaktuk,CA,2022-02-05 01:30:45,69.4541,-133.0374,-23.8,76,20,16.11,few clouds
88,Fandriana,MG,2022-02-05 01:30:45,-20.2333,47.3833,62.73,99,100,8.37,light rain
89,Cayenne,GF,2022-02-05 01:30:11,4.9333,-52.3333,79.09,88,75,7.0,broken clouds
90,Thompson,CA,2022-02-05 01:26:34,55.7435,-97.8558,-16.44,69,0,5.75,clear sky
91,Barsovo,RU,2022-02-05 01:30:46,61.1667,73.1667,17.73,97,100,4.38,overcast clouds
92,Vestmannaeyjar,IS,2022-02-05 01:31:46,63.4427,-20.2734,31.68,68,100,29.95,snow
93,Fayaoue,NC,2022-02-05 01:31:46,-20.65,166.5333,82.0,84,100,19.37,overcast clouds
94,Muros,ES,2022-02-05 01:31:47,42.7762,-9.0603,52.23,85,99,14.05,overcast clouds
95,Leningradskiy,RU,2022-02-05 01:27:35,69.3833,178.4167,-15.03,92,75,8.93,broken clouds
96,Jamestown,US,2022-02-05 01:27:05,42.097,-79.2353,19.09,51,100,4.61,overcast clouds
97,Arriaga,MX,2022-02-05 01:31:47,16.2333,-93.9,70.23,66,38,20.8,scattered clouds
98,Sao Jose Da Coroa Grande,BR,2022-02-05 01:31:47,-8.8978,-35.1478,78.55,76,5,7.65,clear sky
99,Lukh,RU,2022-02-05 01:31:48,57.0124,42.2584,3.65,97,51,8.59,broken clouds
100,Lynn Haven,US,2022-02-05 01:31:48,30.2455,-85.6483,48.18,95,100,5.01,overcast clouds
101,Esperance,AU,2022-02-05 01:31:48,-33.8667,121.9,82.24,47,3,9.15,clear sky
102,Nabire,ID,2022-02-05 01:31:48,-3.3667,135.4833,85.78,65,100,4.7,overcast clouds
103,Riyadh,SA,2022-02-05 01:30:32,24.6877,46.7219,68.14,36,13,19.73,few clouds
104,Taltal,CL,2022-02-05 01:31:49,-25.4,-70.4833,68.65,70,0,5.41,clear sky
105,Ola,RU,2022-02-05 01:31:49,59.5833,151.2833,4.01,72,9,10.63,clear sky
106,Tatsuno,JP,2022-02-05 01:27:24,34.8667,134.55,42.4,45,22,20.67,few clouds
107,Airai,TL,2022-02-05 01:31:50,-8.9266,125.4092,71.62,69,100,2.1,overcast clouds
108,Port-Gentil,GA,2022-02-05 01:31:50,-0.7193,8.7815,79.43,80,53,8.7,broken clouds
109,Lampazos De Naranjo,MX,2022-02-05 01:31:50,27.0167,-100.5167,39.99,37,0,6.4,clear sky
110,Norman Wells,CA,2022-02-05 01:31:50,65.282,-126.8329,-7.56,64,75,21.85,broken clouds
111,Nanortalik,GL,2022-02-05 01:31:51,60.1432,-45.2371,11.89,65,94,39.62,overcast clouds
112,Vila Velha,BR,2022-02-05 01:31:25,-20.3297,-40.2925,73.35,96,75,1.01,mist
113,Fortuna,US,2022-02-05 01:31:51,40.5982,-124.1573,51.48,89,0,10.36,clear sky
114,Guerrero Negro,MX,2022-02-05 01:31:52,27.9769,-114.0611,61.3,33,0,3.71,clear sky
115,Zatoka,UA,2022-02-05 01:31:52,46.0725,30.4654,34.34,70,87,3.98,overcast clouds
116,Mbuji-Mayi,CD,2022-02-05 01:31:52,-6.15,23.6,66.83,93,100,2.21,overcast clouds
117,Arona,ES,2022-02-05 01:31:53,28.0996,-16.681,60.75,47,0,1.99,clear sky
118,Cervo,ES,2022-02-05 01:31:53,43.6702,-7.4101,49.96,73,100,8.59,overcast clouds
119,Jinchang,CN,2022-02-05 01:31:53,38.4953,102.1739,17.22,40,100,4.79,overcast clouds
120,Kuala Terengganu,MY,2022-02-05 01:31:53,5.3302,103.1408,82.35,78,40,9.22,scattered clouds
121,Tasiilaq,GL,2022-02-05 01:31:54,65.6145,-37.6368,24.96,69,100,42.73,overcast clouds
122,New Norfolk,AU,2022-02-05 01:31:54,-42.7826,147.0587,66.76,54,97,1.01,overcast clouds
123,Pokosnoye,RU,2022-02-05 01:31:54,55.5258,101.0536,7.43,91,100,5.08,overcast clouds
124,Nuevo Progreso,MX,2022-02-05 01:31:55,23.1667,-97.95,50.59,37,100,1.01,overcast clouds
125,Sehithwa,BW,2022-02-05 01:31:55,-20.4667,22.7167,71.1,79,87,5.14,overcast clouds
126,Bambous Virieux,MU,2022-02-05 01:31:55,-20.3428,57.7575,79.21,94,75,14.97,moderate rain
127,Kaeo,NZ,2022-02-05 01:31:56,-35.1,173.7833,77.32,86,48,12.64,scattered clouds
128,Severo-Kurilsk,RU,2022-02-05 01:31:56,50.6789,156.125,31.28,87,92,8.84,light snow
129,Vila Franca Do Campo,PT,2022-02-05 01:31:56,37.7167,-25.4333,59.2,78,100,9.15,overcast clouds
130,Coquimbo,CL,2022-02-05 01:31:57,-29.9533,-71.3436,64.13,82,0,3.44,clear sky
131,Grindavik,IS,2022-02-05 01:31:57,63.8424,-22.4338,27.07,63,100,21.85,snow
132,Dingle,PH,2022-02-05 01:31:57,10.9995,122.6711,79.32,77,87,16.82,overcast clouds
133,Namibe,AO,2022-02-05 01:31:58,-15.1961,12.1522,70.79,70,16,6.55,few clouds
134,Asino,RU,2022-02-05 01:31:58,56.9979,86.1452,16.59,81,100,14.12,overcast clouds
135,Port Shepstone,ZA,2022-02-05 01:31:58,-30.7414,30.455,70.25,90,100,6.38,light rain
136,Arraial Do Cabo,BR,2022-02-05 01:31:58,-22.9661,-42.0278,75.97,86,100,21.81,overcast clouds
137,Brownwood,US,2022-02-05 01:32:59,31.7093,-98.9912,31.32,80,0,0.0,clear sky
138,Hokitika,NZ,2022-02-05 01:32:59,-42.7167,170.9667,62.67,79,100,6.53,overcast clouds
139,Husavik,IS,2022-02-05 01:32:59,66.0449,-17.3389,15.71,93,100,6.33,light snow
140,Prainha,BR,2022-02-05 01:33:00,-1.8,-53.48,74.17,94,98,3.22,overcast clouds
