City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
578,Basco,PH,72.48,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
579,Kieta,PG,86.38,light rain,-6.2167,155.6333,Uruna Bay Retreat
582,Bengkulu,ID,74.84,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
584,Kumba,CM,72.64,clear sky,4.6363,9.4469,El Bethel Hotel
585,Tezu,IN,55.74,light rain,27.9167,96.1667,Circuit House
586,Dicabisagan,PH,75.29,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
588,Atar,MR,69.13,scattered clouds,20.5169,-13.0499,Oumou Elghoura
590,Peniche,PT,54.63,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
591,Rayachoti,IN,68.61,clear sky,14.05,78.75,Swetha lodge
594,Chimbote,PE,69.66,few clouds,-9.0853,-78.5783,Hotel Viera Chimbote
597,Montepuez,MZ,67.46,overcast clouds,-13.1256,38.9997,PembaAparthotel
599,Sungaipenuh,ID,65.86,overcast clouds,-2.0833,101.3833,penginapan citra alam
600,Pontal Do Parana,BR,80.73,overcast clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
603,Kupang,ID,83.26,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
604,Naze,JP,54.52,overcast clouds,28.3667,129.4833,Shishime Hotel
